순위, 제목, 저자, 가격
365, When You Trap a Tiger (2021 Newbery Winner) 2021 뉴베리 수상작ͺ < 호랑이를 덫에 가두면 > 원서, Tae Keller, 6700원
366, 채사장의 지대넓얕 3: 폭력의 시대, 채사장 외, 13500원
367, 싱글맘 부동산 경매로 홀로서기, 이선미 외, 14400원
368, 지적 대화를 위한 넓고 얕은 지식: 제로 편, 채사장, 17820원
369, 도시인의 월든, 박혜윤, 15120원
370, 5년 후 나에게 Q&A a Day(2022 오리지널), 포터 스타일 외, 15120원
371, 어른의 문답법(리커버 스페셜 에디션), 피터 버고지언 외, 15120원
372, 쎈 중등 수학 1-2(2022), 홍범준 외, 14400원
373, 맨발로 걸어라: 돈이 안 들고 부작용이 없는 최고의 자연치유요법, 박동창, 15300원
374, 포켓몬 한글쓰기 100일 마스터, 예림당 편집부, 8000원
375, 낙엽 스낵, 백유연 외, 10800원
376, 유럽 도시 기행 2, 유시민, 15750원
377, 원피스 102: 천왕산, Eiichiro Oda, 4950원
378, 마더텅 수능기출문제집 영어 독해(2022)(2023 대비), 마더텅 편집부, 17910원
379, 해커스 토익 실전 1200제 RC Reading 리딩, 해커스어학연구소, 16110원
380, 밝은 밤, 최은영, 13050원
381, 생각하라 그리고 부자가 되어라, 나폴레온 힐 외, 16200원
382, 파친코 2, 이민진 외, 12500원
383, 그릿(100쇄 기념 리커버 에디션), 김미정 외, 11200원
384, 구궐황도. 9, 구중탑, 2900원
385, 소꿉친구의 장난 - 한뼘 로맨스 컬렉션 491, JJYARONG, 1000원
386, 불순한 스캔들. 외전, 리버 진, 1000원
387, 디지털 트렌드 2023, 김지혜, 15750원
388, 된다! 실무 엑셀 파워포인트 워드&한글, 한정희 외, 27000원
389, 라이프 트렌드 2023, 김용섭, 16200원
390, 오늘 좀 그대가 보고 싶네요, 전경섭, 12150원
391, 커픽처스 커피 레시피 101, 김현석, 18000원
392, 이해찬 회고록, 이해찬, 20700원
393, 설민석의 세계사 대모험 14, 설민석 외, 11700원
394, 원펀맨(One Punch Man) 26, One 외, 4950원
395, 게으른 완벽주의자를 위한 심리학, 헤이든 핀치 외, 15300원
396, 당신에게 좋은 소식을 전해줄게요, 권글(권혁탁), 13680원
397, 푸른 사자 와니니 5: 초원의 바람, 이현 외, 10800원
